ENSEMBLE,NV,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10 ,V11,NV_CURR
1,0.46408,0.41137,0.34476,0.22642,0.21796,0.18659,0.15867,0.12389,0.17955,0.1795,0.11409,0.11362,0.23227
2,0.49297,0.44308,0.37921,0.25686,0.25053,0.21658,0.18724,0.14659,0.2094,0.20936,0.13462,0.13418,0.26724
3,0.50929,0.46113,0.39886,0.27482,0.27024,0.23513,0.20509,0.16119,0.22804,0.22801,0.1482,0.14779,0.28822
4,0.37511,0.31689,0.2436,0.1445,0.13693,0.11632,0.09398,0.076187,0.11163,0.11154,0.072151,0.07198,0.14447
5,0.45935,0.40622,0.33917,0.2216,0.21292,0.18203,0.15436,0.12055,0.17505,0.175,0.11111,0.11065,0.22682
6,0.44762,0.39349,0.32539,0.20986,0.20076,0.17113,0.14411,0.11268,0.16434,0.16428,0.10416,0.10371,0.21367
7,0.41065,0.35394,0.28288,0.17486,0.16578,0.14056,0.11579,0.091683,0.13471,0.13464,0.085748,0.085429,0.17571
8,0.39086,0.33318,0.26078,0.15751,0.14913,0.12646,0.10301,0.08256,0.12125,0.12116,0.077745,0.077512,0.15766
9,0.37864,0.32051,0.24741,0.14734,0.13958,0.11851,0.095917,0.077551,0.1137,0.11361,0.073348,0.073165,0.14733
10,0.51062,0.46261,0.40047,0.27631,0.2719,0.2367,0.20661,0.16245,0.22962,0.22959,0.14938,0.14897,0.28997
11,0.48588,0.43526,0.3707,0.24922,0.24225,0.20887,0.17986,0.14064,0.20169,0.20165,0.12918,0.12872,0.25839
12,0.45312,0.39944,0.33183,0.21533,0.20639,0.17616,0.14883,0.11629,0.16928,0.16922,0.10735,0.10689,0.21977
13,0.50968,0.46156,0.39933,0.27525,0.27073,0.23559,0.20553,0.16156,0.2285,0.22847,0.14854,0.14814,0.28873
14,0.42865,0.37308,0.30339,0.19151,0.18218,0.15474,0.12883,0.10121,0.14838,0.14831,0.094095,0.093704,0.19351
15,0.361,0.30246,0.2285,0.13347,0.12676,0.10797,0.086685,0.071047,0.10375,0.10366,0.06764,0.067517,0.1335
16,0.40527,0.34826,0.27682,0.17003,0.1611,0.13657,0.11215,0.089068,0.13089,0.13082,0.083456,0.08316,0.17064
17,0.47327,0.42141,0.35566,0.23591,0.22799,0.19573,0.16734,0.13068,0.18861,0.18856,0.12017,0.1197,0.24308
18,0.44619,0.39194,0.32372,0.20845,0.19931,0.16984,0.1429,0.11176,0.16308,0.16302,0.10335,0.10291,0.2121
19,0.39821,0.34085,0.26893,0.16382,0.15514,0.13152,0.10757,0.085793,0.12606,0.12598,0.080583,0.080319,0.16417
20,0.49393,0.44413,0.38036,0.2579,0.25166,0.21763,0.18825,0.14741,0.21046,0.21042,0.13538,0.13493,0.26845
21,0.49461,0.44488,0.38117,0.25863,0.25246,0.21838,0.18897,0.14799,0.2112,0.21117,0.13591,0.13547,0.2693
22,0.49627,0.44672,0.38317,0.26045,0.25444,0.22023,0.19075,0.14943,0.21306,0.21302,0.13724,0.1368,0.27141
23,0.37416,0.31591,0.24256,0.14373,0.13622,0.11573,0.093463,0.075823,0.11107,0.11098,0.071831,0.071664,0.1437
24,0.46943,0.41721,0.35109,0.23192,0.22376,0.19187,0.16367,0.1278,0.18477,0.18472,0.11758,0.11711,0.23852
25,0.36491,0.30644,0.23265,0.13646,0.1295,0.11022,0.088634,0.072421,0.10586,0.10577,0.068846,0.06871,0.13646
26,0.48691,0.4364,0.37195,0.25033,0.24345,0.20998,0.18093,0.1415,0.2028,0.20276,0.12996,0.1295,0.25967
27,0.39905,0.34173,0.26986,0.16455,0.15584,0.13211,0.1081,0.086174,0.12663,0.12655,0.080917,0.080649,0.16493
28,0.47266,0.42075,0.35493,0.23528,0.22731,0.19511,0.16675,0.13022,0.18799,0.18795,0.11975,0.11928,0.24235
29,0.49824,0.44889,0.38554,0.2626,0.25679,0.22243,0.19286,0.15115,0.21527,0.21523,0.13884,0.1384,0.27391
30,0.51063,0.46262,0.40048,0.27632,0.27191,0.23671,0.20662,0.16246,0.22963,0.2296,0.14938,0.14898,0.28998
31,0.45637,0.40297,0.33565,0.21859,0.20978,0.1792,0.15169,0.11849,0.17227,0.17221,0.10929,0.10883,0.22343
32,0.48661,0.43606,0.37158,0.25001,0.2431,0.20965,0.18061,0.14124,0.20247,0.20243,0.12973,0.12927,0.25929
33,0.49215,0.44217,0.37822,0.25597,0.24956,0.21567,0.18637,0.14588,0.20849,0.20845,0.13398,0.13353,0.2662
34,0.39789,0.34052,0.26858,0.16355,0.15488,0.1313,0.10737,0.085652,0.12585,0.12577,0.080459,0.080196,0.16389
35,0.46957,0.41736,0.35125,0.23206,0.22391,0.192,0.16379,0.1279,0.18491,0.18486,0.11767,0.1172,0.23868
36,0.50984,0.46174,0.39953,0.27544,0.27094,0.23578,0.20572,0.16172,0.2287,0.22867,0.14869,0.14828,0.28895
37,0.40894,0.35213,0.28095,0.17331,0.16428,0.13928,0.11462,0.09084,0.13349,0.13341,0.085009,0.084697,0.17408
38,0.44719,0.39303,0.32489,0.20944,0.20033,0.17074,0.14375,0.1124,0.16397,0.16391,0.10392,0.10347,0.2132
39,0.48601,0.4354,0.37087,0.24937,0.24241,0.20901,0.18,0.14075,0.20184,0.20179,0.12928,0.12882,0.25855
40,0.36773,0.30932,0.23566,0.13865,0.13152,0.11186,0.090072,0.073435,0.10742,0.10733,0.069735,0.06959,0.13863
41,0.44505,0.39071,0.32239,0.20733,0.19816,0.16882,0.14194,0.11103,0.16208,0.16202,0.10271,0.10227,0.21086
42,0.49738,0.44794,0.38451,0.26166,0.25576,0.22147,0.19194,0.1504,0.2143,0.21427,0.13814,0.1377,0.27282
43,0.49791,0.44852,0.38514,0.26223,0.25639,0.22206,0.19251,0.15086,0.2149,0.21486,0.13857,0.13813,0.27349
44,0.43378,0.37857,0.3093,0.19639,0.18707,0.15902,0.13281,0.10416,0.15253,0.15247,0.096679,0.09627,0.19882
45,0.39055,0.33285,0.26044,0.15724,0.14888,0.12625,0.10282,0.082426,0.12105,0.12096,0.077628,0.077396,0.15739
46,0.3763,0.31811,0.24488,0.14546,0.13782,0.11705,0.094629,0.076644,0.11232,0.11223,0.072552,0.072377,0.14543
47,0.48338,0.4325,0.36771,0.24655,0.23937,0.20621,0.17732,0.13861,0.19903,0.19899,0.12733,0.12687,0.25531
48,0.36328,0.30478,0.23092,0.13521,0.12835,0.10927,0.087814,0.071843,0.10497,0.10488,0.068339,0.068209,0.13522
49,0.46202,0.40912,0.34231,0.22431,0.21575,0.18459,0.15678,0.12242,0.17758,0.17752,0.11278,0.11231,0.22988
50,0.41006,0.35332,0.28221,0.17432,0.16526,0.14012,0.11538,0.091391,0.13429,0.13421,0.085491,0.085175,0.17514
51,0.40554,0.34854,0.27712,0.17027,0.16133,0.13677,0.11233,0.089196,0.13108,0.131,0.083567,0.083271,0.17088
52,0.42283,0.36686,0.29671,0.18603,0.17674,0.15001,0.12446,0.097992,0.1438,0.14373,0.091274,0.090905,0.18761
53,0.48528,0.4346,0.36999,0.24859,0.24156,0.20823,0.17926,0.14016,0.20106,0.20102,0.12874,0.12828,0.25765
54,0.35727,0.29868,0.22457,0.13067,0.12419,0.10589,0.084881,0.069773,0.10178,0.10169,0.066523,0.066411,0.13075
55,0.48316,0.43227,0.36745,0.24633,0.23913,0.20598,0.1771,0.13843,0.19881,0.19876,0.12717,0.12671,0.25504
56,0.48043,0.42927,0.36419,0.24343,0.23602,0.20311,0.17436,0.13625,0.19594,0.1959,0.12519,0.12472,0.25171
57,0.45092,0.39706,0.32926,0.21314,0.20413,0.17414,0.14693,0.11483,0.16729,0.16723,0.10606,0.1056,0.21732
58,0.36979,0.31143,0.23787,0.14027,0.13301,0.11309,0.091143,0.074189,0.10857,0.10848,0.070397,0.070245,0.14024
59,0.3555,0.29688,0.2227,0.12934,0.12299,0.10491,0.084038,0.069176,0.10086,0.10077,0.066,0.065893,0.12945
60,0.51121,0.46326,0.40118,0.27697,0.27263,0.23739,0.20728,0.16301,0.23032,0.23029,0.1499,0.1495,0.29074
61,0.37925,0.32115,0.24808,0.14785,0.14005,0.11889,0.09626,0.077793,0.11407,0.11398,0.073561,0.073375,0.14784
62,0.43754,0.38262,0.31366,0.20001,0.19072,0.16223,0.1358,0.1064,0.15566,0.1556,0.098641,0.09822,0.20279
63,0.40205,0.34488,0.27321,0.16719,0.15836,0.13425,0.11004,0.087554,0.12867,0.12859,0.082128,0.081846,0.16766
64,0.40121,0.344,0.27227,0.16645,0.15765,0.13365,0.10949,0.087165,0.12809,0.12801,0.081787,0.081509,0.16689
65,0.3532,0.29456,0.2203,0.12765,0.12145,0.10366,0.082964,0.068417,0.099684,0.099593,0.065334,0.065233,0.12779
66,0.51266,0.46487,0.40294,0.2786,0.27444,0.23912,0.20894,0.16439,0.23206,0.23203,0.1512,0.15081,0.29267
67,0.37382,0.31556,0.2422,0.14346,0.13597,0.11552,0.09328,0.075694,0.11087,0.11078,0.071718,0.071552,0.14343
68,0.44206,0.38748,0.3189,0.2044,0.19518,0.16617,0.13947,0.10916,0.15949,0.15943,0.10106,0.10063,0.20762
69,0.43637,0.38135,0.31229,0.19888,0.18957,0.16122,0.13486,0.10569,0.15468,0.15461,0.098022,0.097605,0.20154
70,0.48715,0.43665,0.37222,0.25058,0.24372,0.21023,0.18116,0.14169,0.20305,0.20301,0.13013,0.12968,0.25996
71,0.40301,0.34588,0.27428,0.16803,0.15917,0.13493,0.11066,0.088,0.12932,0.12925,0.082519,0.082234,0.16854
72,0.41154,0.35488,0.28388,0.17566,0.16656,0.14123,0.1164,0.092126,0.13536,0.13528,0.086136,0.085813,0.17656
73,0.42248,0.36649,0.29631,0.1857,0.17641,0.14972,0.1242,0.097801,0.14353,0.14346,0.091106,0.090739,0.18725
74,0.4044,0.34734,0.27584,0.16926,0.16036,0.13594,0.11157,0.088655,0.13029,0.13021,0.083093,0.082801,0.16983
75,0.36725,0.30883,0.23515,0.13828,0.13118,0.11159,0.089828,0.073263,0.10716,0.10706,0.069584,0.069441,0.13826
76,0.50399,0.45526,0.39247,0.26893,0.26374,0.22898,0.19916,0.1563,0.22184,0.22181,0.14362,0.1432,0.28131
77,0.36065,0.3021,0.22813,0.13321,0.12652,0.10778,0.086515,0.070927,0.10356,0.10347,0.067535,0.067413,0.13324
78,0.49059,0.44044,0.37635,0.25428,0.24772,0.21396,0.18473,0.14456,0.20678,0.20674,0.13276,0.13231,0.26424
79,0.38683,0.32899,0.25635,0.15411,0.14592,0.12378,0.10061,0.08086,0.1187,0.11861,0.076253,0.076037,0.15419
80,0.45848,0.40527,0.33814,0.22072,0.21199,0.1812,0.15358,0.11994,0.17423,0.17418,0.11058,0.11011,0.22583
81,0.38958,0.33185,0.25938,0.15643,0.14811,0.12561,0.10224,0.082017,0.12044,0.12035,0.077269,0.077041,0.15655
82,0.40817,0.35132,0.28008,0.17262,0.16361,0.13871,0.1141,0.090464,0.13294,0.13286,0.084679,0.084371,0.17335
83,0.37764,0.31949,0.24633,0.14654,0.13883,0.11788,0.095365,0.077163,0.11311,0.11302,0.073007,0.072827,0.14652
84,0.48832,0.43794,0.37363,0.25184,0.24508,0.2115,0.18237,0.14266,0.20432,0.20427,0.13102,0.13057,0.26141
85,0.40979,0.35303,0.28191,0.17408,0.16502,0.13992,0.1152,0.091258,0.1341,0.13402,0.085375,0.08506,0.17489
86,0.49395,0.44415,0.38038,0.25792,0.25168,0.21765,0.18827,0.14742,0.21047,0.21043,0.13539,0.13494,0.26847
87,0.42056,0.36445,0.29413,0.18393,0.17466,0.14821,0.1228,0.096776,0.14207,0.142,0.090209,0.089849,0.18535
88,0.38834,0.33056,0.25802,0.15538,0.14712,0.12478,0.1015,0.081493,0.11965,0.11956,0.076809,0.076587,0.15548
89,0.48287,0.43194,0.3671,0.24601,0.23879,0.20567,0.1768,0.13819,0.19849,0.19845,0.12695,0.12649,0.25468
90,0.48566,0.43501,0.37044,0.24899,0.242,0.20863,0.17964,0.14046,0.20146,0.20141,0.12902,0.12856,0.25811
91,0.51338,0.46567,0.4038,0.27941,0.27534,0.23997,0.20977,0.16508,0.23292,0.23289,0.15185,0.15145,0.29361
92,0.43385,0.37866,0.30939,0.19646,0.18714,0.15908,0.13287,0.10421,0.1526,0.15253,0.096719,0.09631,0.1989
93,0.51026,0.46221,0.40003,0.27591,0.27145,0.23627,0.2062,0.16211,0.22919,0.22916,0.14906,0.14865,0.2895
94,0.46058,0.40755,0.34062,0.22285,0.21422,0.1832,0.15547,0.1214,0.17621,0.17616,0.11188,0.11141,0.22823
95,0.3654,0.30694,0.23317,0.13684,0.12985,0.1105,0.088881,0.072595,0.10613,0.10604,0.068998,0.068861,0.13684
96,0.36729,0.30887,0.23519,0.13831,0.1312,0.11161,0.089848,0.073277,0.10718,0.10709,0.069596,0.069453,0.13829
97,0.38396,0.32601,0.2532,0.15171,0.14367,0.1219,0.098932,0.079677,0.11692,0.11683,0.075214,0.07501,0.15175
98,0.44147,0.38685,0.31822,0.20383,0.19459,0.16565,0.13898,0.1088,0.15899,0.15893,0.10074,0.10031,0.20699
99,0.42358,0.36766,0.29757,0.18673,0.17743,0.15061,0.12502,0.098399,0.14438,0.14431,0.09163,0.091258,0.18836
100,0.35906,0.30049,0.22645,0.13201,0.12542,0.10688,0.085741,0.07038,0.10272,0.10263,0.067055,0.066938,0.13206