Date,2.5prctile,25prctile,50prctile,75prctile,97.5prctile
02/21/20,0,0,0,0,0
02/22/20,0,0,0,0,0
02/23/20,0,0,0,0,0
02/24/20,0,0,0,0,0
02/25/20,0,0,0,0,0
02/26/20,0,0,0,0,0
02/27/20,0,0,0,0,0
02/28/20,0,0,0,0,0
02/29/20,10,23,39,54,94
03/01/20,26,46,56,68,95
03/02/20,46,77,98,123,182
03/03/20,67,93,113,147,213
03/04/20,124,198,253,327,500
03/05/20,196,287,367,467,667
03/06/20,272,407,513,651,936
03/07/20,347,537,684,854,1234
03/08/20,462,695,868,1078,1530
03/09/20,653,936,1162,1419,2007
03/10/20,823,1247,1536,1874,2683
03/11/20,1163,1752,2171,2688,3828
03/12/20,1394,2171,2692,3281,4798
03/13/20,2076,2975,3653,4458,6195
03/14/20,3171,4577,5650,6855,9474
03/15/20,4612,6421,7646,9074,12230
03/16/20,7096,9783,11609,13749,18081
03/17/20,10392,13936,16250,18771,24360
03/18/20,14806,19483,22484,25782,32734
03/19/20,20957,27247,31135,35426,44508
03/20/20,28117,36544,41509,47066,58441
03/21/20,36444,47321,53831,60950,75302
03/22/20,44220,58295,66146,74788,92095
03/23/20,52855,69776,79714,90253,111549
03/24/20,61429,81323,92618,104953,128529
03/25/20,70705,92954,106147,119560,145723
03/26/20,78336,104262,119451,134627,163940
03/27/20,86544,116014,133233,149912,182280
03/28/20,97754,130371,148793,166995,202168
03/29/20,110783,146614,166463,186067,223641
03/30/20,123375,162839,183884,205010,244777
03/31/20,137006,179449,201992,224785,267758
04/01/20,149428,195859,220696,244663,291420
04/02/20,160015,210157,236491,262146,312826
04/03/20,168131,222165,249856,277354,332470
04/04/20,174205,230055,258850,288509,348388
04/05/20,174907,232489,262302,293129,355598
04/06/20,174428,232838,262618,294104,358198
04/07/20,175076,233199,263158,294654,360597
04/08/20,172572,229317,258721,290492,355806
04/09/20,168666,224047,252134,283676,347543
04/10/20,164172,218630,246168,277010,339963
04/11/20,160521,212568,239862,269141,331565
04/12/20,156168,207231,233862,262527,322709
04/13/20,151586,200524,226316,254230,312381
04/14/20,148102,196210,220853,247662,305337
04/15/20,145671,192199,216566,242983,300021
04/16/20,143979,189337,213320,238797,294329
04/17/20,143981,188663,212269,237549,292074
04/18/20,141495,186102,208941,233945,287478
04/19/20,142422,186187,208544,233199,285869
04/20/20,144483,187960,209753,234370,287745
04/21/20,143801,188499,209993,233941,287013
04/22/20,144018,189474,211280,235034,287625
04/23/20,143886,189895,211984,236030,288569
04/24/20,140485,186847,208800,232744,284867
04/25/20,139342,185559,207333,230898,282099
04/26/20,136832,183230,204853,228020,279462
04/27/20,133130,179570,200836,223620,274575
04/28/20,132547,178207,199425,221853,271759
04/29/20,129926,175036,196076,218262,267238
04/30/20,128046,172132,192756,214866,263477
05/01/20,126770,170317,190420,212484,260440
05/02/20,125044,168373,187959,209783,257302
05/03/20,123952,166300,185968,207489,254726
05/04/20,122301,163722,183228,204593,251166
05/05/20,118606,159451,178361,199271,245758
05/06/20,115376,155430,174105,194485,241184
05/07/20,111003,150081,168619,188726,235122
05/08/20,107250,145317,163493,182933,228827
05/09/20,104998,141543,158979,178139,223137
05/10/20,101603,137001,153956,172652,216915
05/11/20,99898,133856,150529,168768,212594
05/12/20,98067,131163,147442,165309,208551
05/13/20,96494,128698,144409,162033,204241
05/14/20,95772,127325,142648,160116,201631
05/15/20,96304,127060,142363,159553,200476
05/16/20,95857,126050,141081,158236,198673
05/17/20,96502,125921,141040,158129,197805
05/18/20,95238,125131,140128,157060,196565
05/19/20,94586,123998,138988,156135,195984
05/20/20,92790,122243,137213,154132,193808
05/21/20,92103,121458,136257,153085,192698
05/22/20,91044,120265,135116,151706,190730
05/23/20,89536,118922,133572,150018,189096
05/24/20,87792,116245,130981,147345,186223
05/25/20,85245,113765,128159,144318,183067
05/26/20,84093,112309,126502,142574,180779
05/27/20,84303,111866,125862,141573,178889
05/28/20,83564,110829,124665,140524,177639
05/29/20,82293,109481,123225,139112,175717
05/30/20,81497,108695,122490,138266,174859
05/31/20,81442,108177,121765,137316,173662
06/01/20,80751,107356,120935,136233,172561
06/02/20,80716,107190,120923,136241,172519
06/03/20,79817,106012,119762,135044,171486
06/04/20,78899,105267,119017,134316,171235
06/05/20,78849,104917,118685,134032,170576
06/06/20,77822,104087,117678,132796,169403
06/07/20,78364,103879,117382,132572,169003
06/08/20,78749,104308,117978,133277,168986
06/09/20,78575,104598,117818,133056,168917
06/10/20,79666,105899,119066,134300,169574
06/11/20,80358,106804,120326,135644,171242
06/12/20,81837,108349,121874,137157,173171
06/13/20,84157,110883,124640,139833,176250
06/14/20,86584,113656,127872,143260,179686
06/15/20,89812,117391,131537,147096,184056
06/16/20,93642,122114,136562,152495,189574
06/17/20,98084,127380,141895,158130,196359
06/18/20,102485,132996,148036,164847,203739
06/19/20,108565,140076,155500,172868,212949
06/20/20,114971,147899,163855,181488,222256
06/21/20,121278,155831,172539,190740,232554
06/22/20,127010,163800,180750,199634,242424
06/23/20,134412,172352,190226,209519,253325
06/24/20,140780,180420,199113,218982,263067
06/25/20,147969,189754,208859,229843,275277
06/26/20,153579,197403,217294,238640,285540
06/27/20,160370,205231,225487,247706,296074
06/28/20,167449,214081,235191,258274,307010
06/29/20,175645,223522,245403,268662,319415
06/30/20,181943,231703,254206,277793,330041
07/01/20,186860,238213,261522,286028,339387
07/02/20,191220,243523,267402,292691,347410
07/03/20,194721,247969,271917,297799,353239
07/04/20,199173,253378,277764,303633,360104
07/05/20,202448,257447,282433,308396,365955
07/06/20,207535,262635,287436,313888,372512
07/07/20,213144,268406,293722,320983,380613
07/08/20,219771,275787,301137,328684,389498
07/09/20,226442,283134,309715,337978,398761
07/10/20,233576,291988,318962,348137,410648
07/11/20,239399,299224,327117,357088,421687
07/12/20,244466,305001,334178,364247,430302
07/13/20,249642,311474,341208,372307,439189
07/14/20,253689,316571,346846,378152,446509
07/15/20,254939,319822,350846,382787,452865
07/16/20,256422,321882,353217,385677,456935
07/17/20,257157,322615,354157,386796,457796
07/18/20,255629,321710,352688,385800,457372
07/19/20,254089,320394,351328,384050,455135
07/20/20,250713,316690,347459,380297,450680
07/21/20,248716,314176,344168,376774,446624
07/22/20,247814,312978,343041,375051,444035
07/23/20,246149,310688,340734,372736,441493
07/24/20,243477,307286,337358,369195,439268
07/25/20,242031,305368,335359,367195,435981
07/26/20,241584,304015,333696,365573,433767
07/27/20,240395,302796,332244,363881,431209
07/28/20,239056,300651,329924,361450,429777
07/29/20,235635,296739,326203,357512,425833
07/30/20,230572,292000,320999,352436,420592
07/31/20,225855,285478,314149,345067,413020
08/01/20,221403,279083,307402,337963,405351
08/02/20,212428,269498,297163,326950,393818
08/03/20,205539,260722,287705,317148,382565
08/04/20,199007,252080,278731,307435,371735
08/05/20,194590,246050,272323,300738,363317
08/06/20,191364,242167,267552,295326,357156
08/07/20,190691,240366,265340,293222,354011
08/08/20,186600,235904,260542,288013,347936
08/09/20,185441,233483,257868,284835,344802
08/10/20,181762,229772,254062,280923,340806
08/11/20,181988,229658,253844,280647,339232
08/12/20,180741,227922,252043,278352,336984
08/13/20,177749,224841,248742,275021,333253
08/14/20,173019,220220,244043,270484,328895
08/15/20,169971,216330,239881,265921,324335
08/16/20,165828,211420,234821,260371,317440
08/17/20,162176,205975,228908,254318,310992
08/18/20,154596,197744,220355,245294,300840
08/19/20,149181,191111,213316,237781,291984
08/20/20,145523,186718,208464,232137,286306
08/21/20,143707,183833,205094,228568,281344
08/22/20,141222,181137,202106,225220,277298
08/23/20,139936,178795,199450,222370,274621
08/24/20,138616,177327,198008,220881,272419
08/25/20,138175,176231,196842,219314,271272
08/26/20,137681,175747,196049,218653,270263
08/27/20,137350,175743,195987,218739,270581
08/28/20,136607,175118,195485,217974,269733
08/29/20,137378,175077,195594,218385,269541
08/30/20,135735,174019,194436,217237,268810
08/31/20,135084,173613,194015,216651,267977
09/01/20,135410,173619,194194,216862,268260
09/02/20,135330,173610,194301,217006,267711
09/03/20,134836,172895,193515,216235,267146
09/04/20,131354,169569,190350,213010,263076
09/05/20,125584,163353,183907,206489,256653
09/06/20,120287,157341,177798,200024,249417
09/07/20,115589,151521,171325,192976,241626
09/08/20,113157,148089,167192,188619,236047
09/09/20,111368,144975,163816,184629,231672
09/10/20,110966,144124,162553,183214,229989
09/11/20,113497,145873,164230,184510,230508
09/12/20,117232,149765,168110,188647,234316
09/13/20,120931,153548,171892,192532,238914
09/14/20,124735,158102,176800,197440,244592
09/15/20,127325,161520,180484,201850,249352
09/16/20,129010,164287,183926,205821,253874
09/17/20,131084,166887,186974,209019,258760
09/18/20,131485,168076,188358,210842,260789
09/19/20,130686,167796,188375,210988,261134
09/20/20,130735,167757,188253,210759,261311
09/21/20,130128,167377,187730,210286,260982
09/22/20,129991,167071,187369,209634,260052
09/23/20,130824,167740,188137,210697,260811
09/24/20,131443,168469,189027,211461,261595
09/25/20,131400,169058,189587,212192,262788
09/26/20,133573,171072,191738,214203,264763
09/27/20,134147,171925,192269,214961,265711
09/28/20,134283,172604,193241,215943,266699
09/29/20,135165,173292,194060,217008,268496
09/30/20,135630,174043,194965,218059,269132
10/01/20,135651,174121,195035,218042,269351
10/02/20,137717,176130,197173,220583,271814
10/03/20,139651,178310,199335,222773,274137
10/04/20,142914,181577,202714,226319,278001
10/05/20,146959,186173,207486,231165,283309
10/06/20,150297,190339,212044,235924,288503
10/07/20,153395,194303,216562,240786,294804
10/08/20,158142,199449,222049,246866,301349
10/09/20,161747,203981,226858,251794,307400
10/10/20,165597,208554,231882,257659,313581
10/11/20,169833,213887,237668,263657,320305
10/12/20,173634,218431,242574,268920,326219
10/13/20,178696,224479,248939,275631,333884
10/14/20,182690,229309,254232,281472,340640
10/15/20,184881,232173,257377,285157,344784
10/16/20,192295,240540,266362,294586,355515
10/17/20,197974,247194,273420,301967,363702
10/18/20,202870,253007,279577,308425,370818
10/19/20,208208,259316,286215,315661,379343
10/20/20,213708,265227,292795,322892,387331
10/21/20,222442,275821,303740,333982,399734
10/22/20,230749,285006,313607,344304,410893
10/23/20,234629,289958,318889,350424,418713
10/24/20,239427,296280,326173,358344,427817
10/25/20,246234,304413,334737,367258,437695
10/26/20,254298,313162,343906,376810,447966
10/27/20,262738,323648,354982,388834,462217
10/28/20,268848,331116,363015,397827,472440
10/29/20,281601,345268,377880,413385,489595
10/30/20,290069,355433,388576,424682,503142
10/31/20,300493,367507,401823,438834,517812
11/01/20,313612,382901,417837,456112,538953
11/02/20,331036,402419,438446,477537,562320
11/03/20,349767,423359,460263,500595,587790
11/04/20,369903,446067,484697,525981,615883
11/05/20,382293,461893,501665,544985,639588
11/06/20,399764,482284,523762,568130,664572
11/07/20,421342,506743,549737,595945,695778
11/08/20,443780,531669,576522,623601,726436
11/09/20,461951,555705,601775,650544,756582
11/10/20,483262,580817,628742,679300,788818
11/11/20,503684,604897,654978,707741,820890
11/12/20,519122,624710,676073,730430,847422
11/13/20,538180,645969,698806,755240,874962
11/14/20,551367,662174,716302,773870,896128
11/15/20,564438,676940,731834,790666,916133
11/16/20,576214,690804,747212,806630,934528
11/17/20,585761,702631,759318,820446,950444
11/18/20,592269,711481,769302,830201,961075
11/19/20,596949,717178,775242,837492,969795
11/20/20,599656,721532,780206,842538,975316
11/21/20,601939,724675,782944,845717,979261
11/22/20,604741,727701,786405,849374,984117
11/23/20,602947,726189,785105,847937,982836
11/24/20,604788,727425,786111,848711,984495
11/25/20,606991,729433,788042,850698,986144
11/26/20,611753,732938,790911,853004,986165
11/27/20,614106,735201,792972,855149,989238
11/28/20,618079,739663,796817,858944,993162
11/29/20,624330,745535,803015,864990,999399
11/30/20,631049,751776,809614,871439,1006246
12/01/20,637814,758805,817265,878699,1012948
12/02/20,642508,763736,823380,885276,1020744
12/03/20,645842,769158,828936,892130,1028550
12/04/20,647313,772796,833170,897260,1034376
12/05/20,648832,774813,836331,901315,1040645
12/06/20,650264,778103,839879,904785,1046860
12/07/20,649837,779710,841304,907520,1049906
12/08/20,645481,775319,837141,903660,1046170
12/09/20,642837,774232,836271,902310,1046489
12/10/20,642328,772385,834163,900364,1046247
12/11/20,640131,770361,832229,897945,1042578
12/12/20,639904,769721,831225,897266,1040719
12/13/20,640686,770572,831640,897518,1042178
12/14/20,645626,776130,837514,903277,1046611
12/15/20,646919,776816,838154,903927,1046650
12/16/20,654742,783853,845599,911436,1055042
12/17/20,660134,790965,852881,919120,1062767
12/18/20,665077,797511,859336,926115,1071781
12/19/20,671090,804001,865982,932796,1079467
12/20/20,677004,810133,872288,939075,1087206
12/21/20,681740,816072,878745,945772,1094855
12/22/20,688030,821739,885212,952345,1102430
12/23/20,692973,828525,891129,958170,1107595
12/24/20,697685,833755,896286,963591,1113324
12/25/20,701364,835741,897260,964245,1110709
12/26/20,701992,836254,897549,963851,1109164
12/27/20,701783,835630,896606,963138,1106535
12/28/20,701982,834910,894993,961040,1102317
12/29/20,695188,827991,888542,953754,1093194
12/30/20,695797,828521,888923,953774,1092859
12/31/20,696133,827684,888132,952517,1091369
01/01/21,694143,825517,886454,951217,1091238
01/02/21,692406,824858,886150,951674,1092708
01/03/21,693139,825358,887088,952491,1095173
01/04/21,696944,828789,890689,956858,1099894
01/05/21,707717,839941,901472,968238,1112293
01/06/21,717229,850750,912802,979893,1126306
01/07/21,728324,862556,924985,992790,1141146
01/08/21,747026,883452,947707,1017287,1169446
01/09/21,768438,905563,970431,1040983,1194580
01/10/21,782414,922233,988228,1060019,1216107
